plate,mjd,z,zErr,zWarning,class,dec,dered_g,dered_i,dered_r,dered_u,dered_z,objID,ra,run1d,run2d,fiberID,snMedian,g-r,Check_Near_Objects,Near_Objects_Desc
1991,53446,0.07976772,2.57E-05,0,GALAXY,33.31485952,25.05214,17.47568,17.68191,24.55482,16.98927,1.24E+18,177.7653333,,26,370,15.32313,7.37023,1,near low-mass star
1486,52993,0.06337526,1.74E-05,0,GALAXY,-1.230467588,25.01854,15.26655,14.68246,24.46715,22.7769,1.24E+18,353.5176861,,26,88,12.29413,10.33608,1,near galaxy cluster
472,51955,0.1432607,9.00E-06,0,GALAXY,1.159636174,24.91542,16.68819,18.48753,24.39546,17.11867,1.24E+18,137.6126302,,26,325,14.09971,6.42789,0,near center of galaxy
355,51788,0.8375879,2.60E-05,4,GALAXY,57.7651542,27.51312,16.2897,17.04126,23.40008,24.96049,1.24E+18,259.6313541,,26,555,1.664066,10.47186,1,near star
1028,52884,0.03012984,8.65E-06,0,GALAXY,0.38622958,25.05737,15.69779,16.03585,17.45827,15.52234,1.24E+18,323.7131606,,26,611,23.19047,9.02152,0,overlayed with galaxy
856,52339,0.00385531,3.51E-05,0,GALAXY,4.983360636,25.02844,24.30941,18.58078,17.80124,22.79515,1.24E+18,208.906351,,26,459,11.62409,6.44766,0,looks like galaxy in a pair
367,51997,0.09967202,1.56E-05,0,GALAXY,55.86402375,25.00918,17.57125,18.55344,20.8165,17.67912,1.24E+18,260.5777373,,26,483,23.96635,6.45574,0,near center of galaxy
509,52374,0.08739369,1.98E-05,0,GALAXY,2.003815863,24.97124,15.47161,15.88496,22.66131,15.2206,1.24E+18,167.0161492,,26,225,27.30162,9.08628,1,outside center of galaxy
770,52282,0.114104,1.60E-05,0,GALAXY,61.01903502,25.0942,17.32903,17.6631,19.4254,17.27782,1.24E+18,148.6413255,,26,476,9.663951,7.4311,0,overlayed with galaxy
359,51821,0.9937414,0.000212843,4,GALAXY,54.15147107,23.96077,16.90326,16.97666,21.52669,24.47916,1.24E+18,261.6535523,,26,456,1.037544,6.98411,1,near star
749,52226,0.0754137,2.50E-05,0,GALAXY,15.90808555,25.01771,16.84959,17.23267,19.64454,16.66725,1.24E+18,358.5133101,,26,540,13.30146,7.78504,0,overlayed with galaxy
9337,57724,0.8957809,0.000156213,0,GALAXY,-4.561705159,25.67742,20.91382,19.02921,20.70096,18.93562,1.24E+18,18.90583541,v5_13_2,v5_13_2,99,1.083963,6.64821,1,near star
645,52203,0.08660734,1.91E-05,0,GALAXY,-9.145703418,25.00037,16.34027,16.72289,19.53001,16.02233,1.24E+18,349.4175918,,26,390,22.50533,8.27748,0,overlayed with galaxy
645,52203,0.08221919,2.43E-05,0,GALAXY,-9.123926398,24.99821,17.39073,17.97453,22.06753,20.37661,1.24E+18,349.3887926,,26,396,14.04256,7.02368,0,overlayed with galaxy
1326,52764,0.04579008,3.99E-05,0,GALAXY,52.89638454,25.71076,23.62949,15.37973,23.96162,22.88179,1.24E+18,218.4286308,,26,23,4.966997,10.33103,0,near center of galaxy
6683,56416,0.003132524,2.51E-05,0,GALAXY,50.42810396,25.01528,14.81666,15.54141,24.52029,22.78946,1.24E+18,179.1204759,v5_13_2,v5_13_2,218,11.74594,9.47387,0,near center of galaxy
8954,57453,0.8372052,0.000178196,0,GALAXY,22.03580113,27.81412,17.99601,20.02919,18.53198,26.92281,1.24E+18,116.2954416,v5_13_2,v5_13_2,802,1.032947,7.78493,1,outside of galaxies
4794,55647,0.01388008,3.72E-05,0,GALAXY,2.644990833,24.9279,25.14756,16.138,24.94825,14.81077,1.24E+18,127.3303631,v5_13_2,v5_13_2,520,14.6153,8.7899,0,overlayed with galaxy
8420,58197,0.8624828,0.000300659,0,GALAXY,53.20924054,27.14764,19.92268,20.97783,26.69618,19.24774,1.24E+18,230.9364026,v5_13_2,v5_13_2,535,1.250715,6.16981,1,overlayed with high proper motion star
752,52251,0.7701838,0.000205219,4,GALAXY,15.56409327,25.67768,13.68454,14.47512,24.25582,23.77021,1.24E+18,3.20440501,,26,461,6.739494,11.20256,1,outside star
1358,52994,0.144443,1.80E-05,0,GALAXY,44.02163884,25.05326,16.27421,17.38197,19.02652,15.9423,1.24E+18,154.7810975,,26,425,15.39268,7.67129,0,overlayed with galaxy
391,51782,0.03671643,5.46E-06,0,GALAXY,1.096030459,24.30463,15.73263,16.42326,18.4442,22.84945,1.24E+18,7.9350532,,26,602,6.246986,7.88137,0,overlayed with galaxy
2479,54174,0.1386257,2.84E-05,0,GALAXY,18.95295565,24.9223,17.03602,17.45863,22.00745,17.43464,1.24E+18,161.6629483,,26,453,16.76818,7.46367,1,near galaxy
